sample,region,bp,percent_variance
Rhpor d,5.8s,19,0.0014044943820225
Rhpor d,5.8s,34,0.00138312586445366
Rhpor d,5.8s,35,0.00136612021857918
Rhpor d,5.8s,45,0.00134952766531715
Rhpor d,5.8s,57,0.00136986301369868
Rhpor d,5.8s,58,0.0013869625520111
Rhpor d,5.8s,69,0.0014306151645207
Rhpor d,5.8s,75,0.0014471780028944
Rhpor d,5.8s,83,0.00149700598802394
Rhpor d,5.8s,94,0.00155763239875384
Rhpor d,5.8s,106,0.00161290322580643
Rhpor d,5.8s,112,0.00166389351081531
Rhpor d,5.8s,116,0.00172711571675299
Rhpor d,5.8s,132,0.00179533213644523
Rhpor d,5.8s,136,0.00572519083969469
Rhpor d,5.8s,141,0.0018621973929237
Rhpor d,5.8s,146,0.00187969924812026
Rhpor d,5.8s,151,0.00189035916824198
Rhpor c,5.8s,6,0.00257069408740362
Rhpor c,5.8s,8,0.00255102040816324
Rhpor c,5.8s,47,0.00493827160493832
Rhpor c,5.8s,57,0.0025188916876574
Rhpor c,5.8s,69,0.0209424083769634
Rhpor c,5.8s,81,0.00257731958762886
Rhpor c,5.8s,86,0.00275482093663915
Rhpor c,5.8s,87,0.00275482093663915
Rhpor c,5.8s,90,0.00287356321839083
Rhpor c,5.8s,95,0.0084507042253521
Rhpor c,5.8s,115,0.00311526479750779
Rhpor c,5.8s,120,0.0152439024390244
Rhpor c,5.8s,122,0.0123839009287926
Rhpor c,5.8s,130,0.00630914826498419
Rhpor c,5.8s,132,0.00952380952380949
Rhpor c,5.8s,133,0.00943396226415094
Rhpor c,5.8s,144,0.00321543408360125
Rhpor c,5.8s,154,0.00325732899022801
Rhpor c,5.8s,157,0.00326797385620914
Rhpor c,5.8s,158,0.0034129692832765
Rhpor c,5.8s,159,0.0505050505050505
Rhpor b,5.8s,11,0.00173611111111116
Rhpor b,5.8s,14,0.00169204737732653
Rhpor b,5.8s,21,0.00167224080267558
Rhpor b,5.8s,26,0.00169204737732653
Rhpor b,5.8s,30,0.00168350168350173
Rhpor b,5.8s,46,0.00166112956810627
Rhpor b,5.8s,57,0.00167504187604695
Rhpor b,5.8s,58,0.00166389351081531
Rhpor b,5.8s,63,0.00170357751277683
Rhpor b,5.8s,68,0.00168350168350173
Rhpor b,5.8s,69,0.00169779286926997
Rhpor b,5.8s,75,0.00172711571675299
Rhpor b,5.8s,86,0.00176366843033515
Rhpor b,5.8s,102,0.0018587360594795
Rhpor b,5.8s,108,0.00196463654223966
Rhpor b,5.8s,116,0.00203665987780044
Rhpor b,5.8s,130,0.0079051383399209
Rhpor b,5.8s,136,0.00442477876106195
Rhpor b,5.8s,154,0.0020876826722338
Rhpor b,5.8s,157,0.00207468879668049
Rhpor b,5.8s,158,0.00210084033613445
Rhpor a,5.8s,4,0.00213219616204696
Rhpor a,5.8s,6,0.00213219616204696
Rhpor a,5.8s,19,0.0021186440677966
Rhpor a,5.8s,26,0.00210970464135019
Rhpor a,5.8s,29,0.00209643605870025
Rhpor a,5.8s,30,0.00207468879668049
Rhpor a,5.8s,31,0.0020876826722338
Rhpor a,5.8s,32,0.00414078674948237
Rhpor a,5.8s,34,0.00204081632653064
Rhpor a,5.8s,69,0.00412371134020617
Rhpor a,5.8s,76,0.00212765957446803
Rhpor a,5.8s,81,0.00206185567010309
Rhpor a,5.8s,83,0.00207468879668049
Rhpor a,5.8s,85,0.00212765957446803
Rhpor a,5.8s,100,0.00205338809034905
Rhpor a,5.8s,107,0.0044642857142857
Rhpor a,5.8s,121,0.00228310502283102
Rhpor a,5.8s,125,0.00237529691211402
Rhpor a,5.8s,128,0.00232558139534889
Rhpor a,5.8s,130,0.00467289719626163
Rhpor a,5.8s,132,0.00236406619385343
Rhpor a,5.8s,136,0.00252525252525249
Rhpor a,5.8s,145,0.00245098039215685
Rhpor a,5.8s,150,0.0024813895781638
Rhpor a,5.8s,159,0.0025974025974026
Rhpol d,5.8s,14,0.00166389351081531
Rhpol d,5.8s,15,0.000831946755407653
Rhpol d,5.8s,26,0.00247729149463249
Rhpol d,5.8s,28,0.00163398692810457
Rhpol d,5.8s,30,0.0024691358024691
Rhpol d,5.8s,32,0.000829875518672196
Rhpol d,5.8s,39,0.000814995925020323
Rhpol d,5.8s,51,0.00166112956810627
Rhpol d,5.8s,57,0.000842459983150801
Rhpol d,5.8s,63,0.000849617672047609
Rhpol d,5.8s,64,0.000871839581517042
Rhpol d,5.8s,69,0.000875656742556963
Rhpol d,5.8s,73,0.000877963125548775
Rhpol d,5.8s,81,0.000881834215167521
Rhpol d,5.8s,98,0.000902527075812287
Rhpol d,5.8s,99,0.000900900900900892
Rhpol d,5.8s,106,0.000966183574879209
Rhpol d,5.8s,108,0.000986193293885607
Rhpol d,5.8s,110,0.000996015936254979
Rhpol d,5.8s,116,0.00108342361863489
Rhpol d,5.8s,119,0.0031914893617021
Rhpol d,5.8s,121,0.00323275862068961
Rhpol d,5.8s,124,0.00109769484083422
Rhpol d,5.8s,125,0.00340136054421769
Rhpol d,5.8s,128,0.00219538968166855
Rhpol d,5.8s,130,0.00108695652173918
Rhpol d,5.8s,132,0.00108932461873634
Rhpol d,5.8s,136,0.00475624256837104
Rhpol d,5.8s,140,0.00109649122807021
Rhpol d,5.8s,143,0.00110741971207085
Rhpol d,5.8s,145,0.00225988700564972
Rhpol d,5.8s,147,0.00112359550561802
Rhpol d,5.8s,148,0.0011402508551881
Rhpol d,5.8s,153,0.00115740740740744
Rhpol d,5.8s,156,0.00114155251141557
Rhpol d,5.8s,157,0.00114678899082565
Rhpol c,5.8s,30,0.015625
Rhpol c,5.8s,51,0.0161290322580645
Rhpol b,5.8s,7,0.00214592274678116
Rhpol b,5.8s,11,0.00210970464135019
Rhpol b,5.8s,16,0.00210084033613445
Rhpol b,5.8s,18,0.00210970464135019
Rhpol b,5.8s,23,0.00214592274678116
Rhpol b,5.8s,29,0.00214592274678116
Rhpol b,5.8s,30,0.00215982721382291
Rhpol b,5.8s,35,0.00210084033613445
Rhpol b,5.8s,55,0.00431034482758619
Rhpol b,5.8s,57,0.00215517241379315
Rhpol b,5.8s,67,0.00222222222222224
Rhpol b,5.8s,87,0.00237529691211402
Rhpol b,5.8s,94,0.00241545893719808
Rhpol b,5.8s,115,0.00268096514745308
Rhpol b,5.8s,118,0.0025974025974026
Rhpol b,5.8s,119,0.0025974025974026
Rhpol b,5.8s,120,0.00255754475703329
Rhpol b,5.8s,121,0.00515463917525771
Rhpol b,5.8s,122,0.0102827763496144
Rhpol b,5.8s,124,0.0025974025974026
Rhpol b,5.8s,128,0.00254452926208648
Rhpol b,5.8s,130,0.00753768844221103
Rhpol b,5.8s,136,0.00566572237960339
Rhpol b,5.8s,158,0.0102040816326531
Rhpol b,5.8s,159,0.00255102040816324
Rhpol b,5.8s,161,0.00498753117206985
Rhpol a,5.8s,8,0.00271370420624151
Rhpol a,5.8s,14,0.00133868808567605
Rhpol a,5.8s,30,0.00133155792276962
Rhpol a,5.8s,32,0.00132978723404253
Rhpol a,5.8s,45,0.00135869565217395
Rhpol a,5.8s,50,0.00136798905608759
Rhpol a,5.8s,55,0.00136798905608759
Rhpol a,5.8s,56,0.00138888888888888
Rhpol a,5.8s,69,0.00143472022955526
Rhpol a,5.8s,70,0.0014306151645207
Rhpol a,5.8s,73,0.00144300144300147
Rhpol a,5.8s,86,0.00145348837209303
Rhpol a,5.8s,93,0.00146198830409361
Rhpol a,5.8s,99,0.00147058823529411
Rhpol a,5.8s,103,0.00154320987654322
Rhpol a,5.8s,106,0.0016025641025641
Rhpol a,5.8s,107,0.00162866449511401
Rhpol a,5.8s,115,0.0017761989342806
Rhpol a,5.8s,117,0.00176678445229683
Rhpol a,5.8s,119,0.00346620450606583
Rhpol a,5.8s,122,0.00532859680284192
Rhpol a,5.8s,125,0.00371057513914652
Rhpol a,5.8s,132,0.00182481751824815
Rhpol a,5.8s,135,0.00375234521575984
Rhpol a,5.8s,136,0.00401606425702816
Rhpol a,5.8s,137,0.0018621973929237
Rhpol a,5.8s,141,0.00179533213644523
Rhpol a,5.8s,147,0.00176366843033515
Rhpol a,5.8s,153,0.00180180180180178
Rhpol a,5.8s,162,0.00180831826401451
Rhpa c,5.8s,5,0.00476190476190474
Rhpa c,5.8s,20,0.00462962962962965
Rhpa c,5.8s,23,0.0044642857142857
Rhpa c,5.8s,42,0.00469483568075113
Rhpa c,5.8s,64,0.00534759358288772
Rhpa c,5.8s,116,0.005586592178771
Rhpa c,5.8s,119,0.00598802395209586
Rhpa c,5.8s,120,0.0120481927710844
Rhpa c,5.8s,121,0.0121212121212121
Rhpa c,5.8s,122,0.0121951219512195
Rhpa c,5.8s,156,0.00584795321637432
Rhpa c,5.8s,159,0.00617283950617287
Rhpa b,5.8s,30,0.0163934426229508
Rhpa b,5.8s,131,0.0178571428571429
Rhpa b,5.8s,158,0.0217391304347826
Rhpa a,5.8s,4,0.0018587360594795
Rhpa a,5.8s,19,0.00180505415162457
Rhpa a,5.8s,21,0.00180505415162457
Rhpa a,5.8s,26,0.00180505415162457
Rhpa a,5.8s,30,0.0017761989342806
Rhpa a,5.8s,31,0.00180505415162457
Rhpa a,5.8s,35,0.00175438596491229
Rhpa a,5.8s,36,0.00175746924428821
Rhpa a,5.8s,55,0.00176056338028174
Rhpa a,5.8s,75,0.00188679245283019
Rhpa a,5.8s,125,0.00244498777506108
Rhpa a,5.8s,130,0.00478468899521534
Rhpa a,5.8s,136,0.00546448087431695
Rhpa a,5.8s,137,0.00257731958762886
Rhpa a,5.8s,142,0.0025188916876574
Rhpa a,5.8s,143,0.00251256281407031
Rhpa a,5.8s,147,0.0025380710659898
Rhpa a,5.8s,154,0.00259067357512954
Rhpa a,5.8s,156,0.00256410256410255
Rhpa a,5.8s,158,0.00260416666666663
Rhme e,5.8s,16,0.00751879699248126
Rhme e,5.8s,26,0.00740740740740742
Rhme e,5.8s,31,0.0071942446043165
Rhme e,5.8s,47,0.00699300699300698
Rhme e,5.8s,57,0.00714285714285712
Rhme e,5.8s,69,0.0441176470588235
Rhme e,5.8s,82,0.0150375939849624
Rhme e,5.8s,95,0.00724637681159424
Rhme e,5.8s,115,0.00869565217391299
Rhme e,5.8s,120,0.0180180180180181
Rhme e,5.8s,121,0.0373831775700935
Rhme e,5.8s,122,0.0454545454545454
Rhme e,5.8s,132,0.0347826086956522
Rhme e,5.8s,133,0.00877192982456143
Rhme e,5.8s,151,0.00917431192660545
Rhme e,5.8s,158,0.0186915887850467
Rhme e,5.8s,161,0.00934579439252337
Rhme d,5.8s,47,0.157894736842105
Rhme d,5.8s,69,0.166666666666667
Rhme d,5.8s,95,0.166666666666667
Rhme d,5.8s,157,0.0909090909090909
Rhme c,5.8s,29,0.00413223140495866
Rhme c,5.8s,60,0.00416666666666665
Rhme c,5.8s,69,0.0227272727272727
Rhme c,5.8s,110,0.00471698113207553
Rhme c,5.8s,114,0.00483091787439616
Rhme c,5.8s,115,0.00476190476190474
Rhme c,5.8s,119,0.00471698113207553
Rhme c,5.8s,120,0.0092592592592593
Rhme c,5.8s,121,0.00465116279069766
Rhme c,5.8s,122,0.014018691588785
Rhme c,5.8s,125,0.00480769230769229
Rhme c,5.8s,127,0.00471698113207553
Rhme c,5.8s,132,0.0092592592592593
Rhme c,5.8s,133,0.00465116279069766
Rhme c,5.8s,135,0.00471698113207553
Rhme c,5.8s,136,0.0103092783505154
Rhme c,5.8s,158,0.005
Rhme b,5.8s,11,0.00326797385620914
Rhme b,5.8s,55,0.00318471337579618
Rhme b,5.8s,60,0.00308641975308643
Rhme b,5.8s,69,0.00313479623824453
Rhme b,5.8s,76,0.00308641975308643
Rhme b,5.8s,93,0.00314465408805031
Rhme b,5.8s,95,0.00315457413249209
Rhme b,5.8s,115,0.00336700336700335
Rhme b,5.8s,119,0.00332225913621265
Rhme b,5.8s,122,0.0067567567567568
Rhme b,5.8s,128,0.00347222222222221
Rhme b,5.8s,130,0.00347222222222221
Rhme b,5.8s,131,0.00694444444444442
Rhme b,5.8s,132,0.00711743772241991
Rhme b,5.8s,136,0.00374531835205993
Rhme b,5.8s,140,0.00347222222222221
Rhme b,5.8s,158,0.00383141762452111
Rhme b,5.8s,159,0.00383141762452111
Rhme a,5.8s,69,0.0116279069767442
Rhme a,5.8s,120,0.0116279069767442
Rhme a,5.8s,122,0.0120481927710844
Rhme a,5.8s,130,0.0120481927710844
Rhme a,5.8s,132,0.0123456790123457
Rhme a,5.8s,158,0.0138888888888888
Rhha b,5.8s,36,0.00539083557951481
Rhha b,5.8s,113,0.00322580645161286
Rhha b,5.8s,116,0.00315457413249209
Rhha b,5.8s,117,0.00314465408805031
Rhha b,5.8s,119,0.00313479623824453
Rhha b,5.8s,122,0.00323624595469252
Rhha b,5.8s,130,0.00664451827242529
