sample,region,bp,percent_variance
Rhpor c,ITS2,26,0.00353356890459366
Rhpor c,ITS2,28,0.00340136054421769
Rhpor c,ITS2,29,0.00342465753424659
Rhpor c,ITS2,34,0.00354609929078009
Rhpor c,ITS2,36,0.00357142857142856
Rhpor c,ITS2,37,0.0036496350364964
Rhpor c,ITS2,38,0.107913669064748
Rhpor c,ITS2,60,0.00370370370370365
Rhpor c,ITS2,62,0.00371747211895912
Rhpor c,ITS2,64,0.102941176470588
Rhpor c,ITS2,67,0.00362318840579712
Rhpor c,ITS2,70,0.099644128113879
Rhpor c,ITS2,91,0.0034129692832765
Rhpor c,ITS2,108,0.00343642611683848
Rhpor c,ITS2,111,0.00342465753424659
Rhpor c,ITS2,120,0.00348432055749126
Rhpor c,ITS2,122,0.0034129692832765
Rhpor c,ITS2,127,0.00318471337579618
Rhpor c,ITS2,148,0.00609756097560976
Rhpor c,ITS2,158,0.00294985250737467
Rhpor b,ITS2,2,0.00209643605870025
Rhpor b,ITS2,9,0.00201612903225812
Rhpor b,ITS2,13,0.00195694716242667
Rhpor b,ITS2,19,0.00203252032520329
Rhpor b,ITS2,24,0.00201207243460766
Rhpor b,ITS2,44,0.00222717149220486
Rhpor b,ITS2,47,0.00221238938053092
Rhpor b,ITS2,64,0.00229357798165142
Rhpor b,ITS2,66,0.0022321428571429
Rhpor b,ITS2,69,0.00217391304347825
Rhpor b,ITS2,73,0.00213219616204696
Rhpor b,ITS2,82,0.00215053763440864
Rhpor b,ITS2,84,0.00421052631578944
Rhpor b,ITS2,107,0.00198807157057657
Rhpor b,ITS2,133,0.00186567164179108
Rhpor b,ITS2,152,0.00179856115107913
Rhpor a,ITS2,2,0.0025380710659898
Rhpor a,ITS2,4,0.00253164556962027
Rhpor a,ITS2,41,0.00626959247648906
Rhpor a,ITS2,44,0.00315457413249209
Rhpor a,ITS2,68,0.00312500000000004
Rhpor a,ITS2,69,0.00301204819277112
Rhpor a,ITS2,82,0.00303951367781152
Rhpor a,ITS2,91,0.00277777777777777
Rhpor a,ITS2,103,0.0025380710659898
Rhpor a,ITS2,110,0.00256410256410255
Rhpor a,ITS2,120,0.00249999999999995
Rhpor a,ITS2,125,0.00230414746543783
Rhpor a,ITS2,155,0.00203665987780044
Rhpol d,ITS2,3,0.00112359550561802
Rhpol d,ITS2,14,0.00107642626480087
Rhpol d,ITS2,15,0.00107066381156318
Rhpol d,ITS2,19,0.00112359550561802
Rhpol d,ITS2,23,0.00222469410456061
Rhpol d,ITS2,35,0.00117647058823533
Rhpol d,ITS2,38,0.00120336943441635
Rhpol d,ITS2,47,0.00238379022646007
Rhpol d,ITS2,62,0.00116550116550118
Rhpol d,ITS2,69,0.00117096018735363
Rhpol d,ITS2,70,0.00117785630153122
Rhpol d,ITS2,73,0.00112612612612617
Rhpol d,ITS2,80,0.00111856823266221
Rhpol d,ITS2,85,0.0011160714285714
Rhpol d,ITS2,89,0.00215053763440864
Rhpol d,ITS2,115,0.00107181136120038
Rhpol d,ITS2,120,0.0010460251046025
Rhpol d,ITS2,124,0.00104275286757038
Rhpol d,ITS2,128,0.000979431929480912
Rhpol d,ITS2,132,0.001953125
Rhpol d,ITS2,134,0.000970873786407811
Rhpol d,ITS2,144,0.000927643784786603
Rhpol d,ITS2,157,0.000931966449207788
Rhpol d,ITS2,158,0.000931966449207788
Rhpol c,ITS2,53,0.0277777777777778
Rhpol c,ITS2,57,0.0277777777777778
Rhpol c,ITS2,139,0.0166666666666667
Rhpol b,ITS2,2,0.00488997555012227
Rhpol b,ITS2,10,0.00479616306954433
Rhpol b,ITS2,14,0.00239234449760761
Rhpol b,ITS2,19,0.00254452926208648
Rhpol b,ITS2,32,0.00249376558603487
Rhpol b,ITS2,41,0.00263157894736843
Rhpol b,ITS2,44,0.00274725274725274
Rhpol b,ITS2,60,0.00583090379008744
Rhpol b,ITS2,84,0.00278551532033422
Rhpol b,ITS2,123,0.00481927710843377
Rhpol b,ITS2,158,0.00408163265306127
Rhpol a,ITS2,1,0.00180831826401451
Rhpol a,ITS2,4,0.00175746924428821
Rhpol a,ITS2,31,0.00192307692307692
Rhpol a,ITS2,41,0.00199203187250996
Rhpol a,ITS2,47,0.00197628458498023
Rhpol a,ITS2,48,0.00196463654223966
Rhpol a,ITS2,60,0.00203252032520329
Rhpol a,ITS2,69,0.00195694716242667
Rhpol a,ITS2,71,0.00193423597678921
Rhpol a,ITS2,94,0.00184501845018448
Rhpol a,ITS2,95,0.00181488203266789
Rhpol a,ITS2,98,0.00182481751824815
Rhpol a,ITS2,113,0.00180180180180178
Rhpol a,ITS2,119,0.00354609929078009
Rhpol a,ITS2,121,0.00176056338028174
Rhpol a,ITS2,134,0.00161030595813205
Rhpol a,ITS2,135,0.00160771704180063
Rhpol a,ITS2,147,0.00314960629921257
Rhpol a,ITS2,148,0.00156985871271587
Rhpol a,ITS2,151,0.00156006240249607
Rhpa c,ITS2,8,0.0060606060606061
Rhpa c,ITS2,10,0.0118343195266272
Rhpa c,ITS2,26,0.00609756097560976
Rhpa c,ITS2,31,0.00653594771241828
Rhpa c,ITS2,39,0.00671140939597314
Rhpa c,ITS2,123,0.0053763440860215
Rhpa c,ITS2,141,0.00523560209424079
Rhpa c,ITS2,144,0.00505050505050508
Rhpa c,ITS2,156,0.00515463917525771
Rhpa c,ITS2,158,0.00502512562814073
Rhpa b,ITS2,62,0.025
Rhpa b,ITS2,64,0.025
Rhpa b,ITS2,70,0.0227272727272727
Rhpa b,ITS2,86,0.02
Rhpa b,ITS2,98,0.0208333333333334
Rhpa b,ITS2,128,0.0181818181818182
Rhpa a,ITS2,3,0.00249376558603487
Rhpa a,ITS2,10,0.00249376558603487
Rhpa a,ITS2,19,0.00248756218905477
Rhpa a,ITS2,26,0.00260416666666663
Rhpa a,ITS2,31,0.00267379679144386
Rhpa a,ITS2,34,0.00263157894736843
Rhpa a,ITS2,38,0.00266666666666671
Rhpa a,ITS2,43,0.00269541778975746
Rhpa a,ITS2,62,0.00263157894736843
Rhpa a,ITS2,69,0.00257731958762886
Rhpa a,ITS2,89,0.00240963855421683
Rhpa a,ITS2,94,0.00233644859813087
Rhpa a,ITS2,95,0.00230414746543783
Rhpa a,ITS2,107,0.00228310502283102
Rhpa a,ITS2,116,0.00228832951945079
Rhpa a,ITS2,143,0.002092050209205
Rhme e,ITS2,9,0.00952380952380949
Rhme e,ITS2,11,0.00909090909090904
Rhme e,ITS2,31,0.00917431192660545
Rhme e,ITS2,97,0.0112359550561798
Rhme e,ITS2,112,0.0123456790123457
Rhme e,ITS2,120,0.0117647058823529
Rhme e,ITS2,123,0.0109890109890109
Rhme e,ITS2,144,0.00980392156862742
Rhme d,ITS2,28,0.0666666666666667
Rhme d,ITS2,54,0.0454545454545454
Rhme d,ITS2,64,0.0555555555555556
Rhme d,ITS2,68,0.05
Rhme d,ITS2,89,0.0476190476190477
Rhme d,ITS2,90,0.0476190476190477
Rhme d,ITS2,91,0.0454545454545454
Rhme d,ITS2,108,0.0476190476190477
Rhme d,ITS2,111,0.0476190476190477
Rhme c,ITS2,11,0.00467289719626163
Rhme c,ITS2,24,0.00507614213197971
Rhme c,ITS2,25,0.00518134715025909
Rhme c,ITS2,26,0.00534759358288772
Rhme c,ITS2,34,0.00543478260869568
Rhme c,ITS2,36,0.00549450549450547
Rhme c,ITS2,37,0.00546448087431695
Rhme c,ITS2,38,0.00546448087431695
Rhme c,ITS2,43,0.00564971751412424
Rhme c,ITS2,54,0.00564971751412424
Rhme c,ITS2,56,0.005586592178771
Rhme c,ITS2,64,0.00602409638554213
Rhme c,ITS2,68,0.00657894736842102
Rhme c,ITS2,74,0.00621118012422361
Rhme c,ITS2,93,0.00624999999999998
Rhme c,ITS2,94,0.130434782608696
Rhme c,ITS2,108,0.0106382978723404
Rhme c,ITS2,111,0.00543478260869568
Rhme c,ITS2,112,0.00549450549450547
Rhme c,ITS2,113,0.00549450549450547
Rhme c,ITS2,122,0.00502512562814073
Rhme c,ITS2,127,0.00462962962962965
Rhme c,ITS2,148,0.00467289719626163
Rhme b,ITS2,22,0.00362318840579712
Rhme b,ITS2,30,0.00367647058823528
Rhme b,ITS2,38,0.00375939849624063
Rhme b,ITS2,94,0.00320512820512819
Rhme b,ITS2,99,0.00313479623824453
Rhme b,ITS2,120,0.00332225913621265
Rhme b,ITS2,123,0.00323624595469252
Rhme b,ITS2,139,0.00300300300300305
Rhme b,ITS2,150,0.00297619047619047
Rhme b,ITS2,155,0.00299401197604787
Rhme a,ITS2,26,0.0128205128205128
Rhme a,ITS2,122,0.0136986301369864
Rhha b,ITS2,17,0.00331125827814571
Rhha b,ITS2,31,0.0214285714285715
Rhha b,ITS2,48,0.00335570469798663
Rhha b,ITS2,60,0.00347222222222221
Rhha b,ITS2,77,0.0033783783783784
Rhha b,ITS2,98,0.00308641975308643
Rhha b,ITS2,110,0.00318471337579618
Rhha b,ITS2,125,0.00314465408805031
Rhha b,ITS2,133,0.00315457413249209
Rhha b,ITS2,134,0.00307692307692309
Rhha b,ITS2,143,0.00297619047619047
Rhha b,ITS2,155,0.00301204819277112
